Request ID,Memory Required,Node Allocated,Node Data,Time Taken,Failed Requests
	124,			8,			
								1231,			8

	125,			24,			
								3915,			32

	126,			22,			
								3979,			32

	127,			20,			
								4042,			32

	128,			26,			
								4111,			32

	129,			6,			
								64,			8

	130,			28,			
								4174,			32

	131,			29,			
								4238,			32

	132,			3,			
								274,			4

	133,			16,			
								303,			16

	134,			4,			
								281,			4

	135,			7,			
								288,			8

	136,			19,			
								1294,			32

	137,			3,			
								1247,			4

	138,			23,			
								4301,			32

	139,			30,			
								4366,			32

	140,			25,			
								4429,			32

	141,			12,			
								175,			16

	142,			1,			
								56,			1

	143,			12,			
								1261,			16

	144,			31,			
								334,			32

	145,			19,			
								4493,			32

	146,			3,			
								1254,			4

	147,			17,			
								4556,			32

	148,			20,			
								4622,			32

	149,			21,			
								4685,			32

	150,			5,			
								1359,			8

	151,			30,			
								4749,			32

	152,			27,			
								4812,			32

	153,			7,			
								1390,			8

	154,			8,			
								1405,			8

	155,			11,			
								4878,			16

	156,			16,			
								1422,			16

	157,			27,			
								4940,			32

	158,			15,			
								1453,			16

	159,			16,			
								4909,			16

	160,			29,			
								5004,			32

	161,			28,			
								5067,			32

	162,			22,			
								5134,			32

	163,			31,			
								5197,			32

	164,			2,			
								58,			2

	165,			16,			
								5262,			16

	166,			10,			
								5293,			16

	167,			30,			
								5324,			32

	168,			18,			
								5389,			32

	169,			12,			
								5453,			16

	170,			23,			
								5516,			32

	171,			13,			
								5484,			16

	172,			19,			
								5579,			32

	173,			14,			
								1485,			16

	174,			14,			
								5646,			16

	175,			30,			
								5708,			32

	176,			27,			
								5772,			32

	177,			15,			
								5677,			16

	178,			9,			
								5836,			16

	179,			15,			
								5867,			16

	180,			5,			
								112,			8

	181,			3,			
								128,			4

	182,			6,			
								1552,			8

	183,			30,			
								5900,			32

	184,			5,			
								1567,			8

	185,			25,			
								1613,			32

	186,			32,			
								5963,			32

	187,			12,			
								1582,			16

	188,			2,			
								172,			2

	189,			16,			
								1516,			16

	190,			16,			
								6028,			16

	191,			31,			
								6090,			32

	192,			14,			
								399,			16

	193,			1,			
								434,			1

	194,			20,			
								6158,			32

	195,			22,			
								6221,			32

	196,			28,			
								6285,			32

	197,			32,			
								6348,			32

	198,			21,			
								6413,			32

	199,			26,			
								6476,			32

	200,			12,			
								1678,			16

	201,			7,			
								446,			8

	202,			19,			
								1740,			32

	203,			22,			
								6540,			32

	204,			5,			
								1807,			8

	205,			4,			
								439,			4

	206,			9,			
								1837,			16

	207,			16,			
								6059,			16

	208,			10,			
								462,			16

	209,			26,			
								6603,			32

	210,			8,			
								1822,			8

	211,			9,			
								6670,			16

	212,			7,			
								1870,			8

	213,			16,			
								1900,			16

	214,			26,			
								6732,			32

	215,			28,			
								6796,			32

	216,			13,			
								493,			16

	217,			32,			
								6859,			32

	218,			5,			
								1885,			8

	219,			13,			
								6701,			16

	220,			24,			
								6924,			32

	221,			30,			
								6987,			32

	222,			25,			
								7051,			32

	223,			16,			
								1709,			16

	224,			31,			
								7114,			32

	225,			14,			
								528,			16

	226,			6,			
								3804,			8

	227,			7,			
								7183,			8

	228,			26,			
								1932,			32

	229,			12,			
								7213,			16

	230,			4,			
								7199,			4

	231,			14,			
								7245,			16

	232,			19,			
								1995,			32

	233,			16,			
								7276,			16

	234,			28,			
								7308,			32

	235,			4,			
								7206,			4

	236,			15,			
								2064,			16

	237,			13,			
								2095,			16

	238,			12,			
								7372,			16

	239,			21,			
								7436,			32

	240,			22,			
								7499,			32

	241,			23,			
								7563,			32

	242,			14,			
								559,			16

	243,			6,			
								7404,			8

	244,			5,			
								592,			8

	245,			20,			
								7626,			32

	246,			16,			
								7693,			16

	247,			26,			
								7755,			32

	248,			21,			
								2126,			32

	249,			13,			
								7724,			16

	250,			5,			
								7419,			8

	251,			8,			
								7821,			8

	252,			31,			
								2190,			32

	253,			22,			
								7882,			32

	254,			6,			
								7836,			8

	255,			19,			
								7947,			32

	256,			24,			
								8010,			32

	257,			1,			
								21,			1

	258,			11,			
								7851,			16

	259,			18,			
								8074,			32

	260,			32,			
								2253,			32

	261,			19,			
								8137,			32

	262,			17,			
								8207,			32

	263,			21,			
								8270,			32

	264,			2,			
								23,			2

	265,			18,			
								2318,			32

	266,			30,			
								8334,			32

	267,			7,			
								8399,			8

	268,			17,			
								2381,			32

	269,			13,			
								8429,			16

	270,			29,			
								8462,			32

	271,			24,			
								8525,			32

	272,			1,			
								22,			1

	273,			30,			
								8589,			32

	274,			2,			
								27,			2

	275,			18,			
								8652,			32

	276,			25,			
								2445,			32

	277,			32,			
								8718,			32

	278,			23,			
								8781,			32

	279,			9,			
								8846,			16

	280,			30,			
								8908,			32

	281,			14,			
								8877,			16

	282,			14,			
								8974,			16

	283,			5,			
								607,			8

	284,			7,			
								623,			8

	285,			13,			
								9005,			16

	286,			22,			
								9036,			32

	287,			23,			
								9100,			32

	288,			12,			
								9164,			16

	289,			31,			
								9230,			32

	290,			1,			
								31,			1

	291,			6,			
								8414,			8

	292,			32,			
								9293,			32

	293,			10,			
								9195,			16

	294,			15,			
								9358,			16
